date,btl_rating,tln_rating,alp_rating,problem_1,problem_2,problem_3,chance_1,chance_2,chance_3,longitude,latitude,station_name,climate_id,year,month,day,data_quality,max_temp_c,min_temp_c,mean_temp_c,heat_deg_day_c,cool_deg_day_c,total_rain_mm,total_snow_cm,total_precip_mm,snow_on_ground_cm,dir_of_max_gust_10s_deg,spd_of_max_gust_kmh
2019-01-01,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,1,,,,,,,,,,,,
2019-01-02,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,2,,,,,,,,,,,,
2019-01-03,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,3,,,,,,,,,,,,
2019-01-04,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,4,,,,,,,,,,,,
2019-01-05,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,5,,,,,,,,,,,,
2019-01-06,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,6,,,,,,,,,,,,
2019-01-07,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,7,,,,,,,,,,,,
2019-01-08,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,8,,,,,,,,,,,,
2019-01-09,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,9,,,,,,,,,,,,
2019-01-10,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,10,,,,,,,,,,,,
2019-01-11,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,11,,,,,,,,,,,,
2019-01-12,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,12,,,,,,,,,,,,
2019-01-13,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,13,,,,,,,,,,,,
2019-01-14,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,14,,,,,,,,,,,,
2019-01-15,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,15,,,,,,,,,,,,
2019-01-16,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,16,,,,,,,,,,,,
2019-01-17,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,17,,,,,,,,,,,,
2019-01-18,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,18,,,,,,,,,,,,
2019-01-19,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,19,,,,,,,,,,,,
2019-01-20,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,20,,,,,,,,,,,,
2019-01-21,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,21,,,,,,,,,,,,
2019-01-22,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,22,,,,,,,,,,,,
2019-01-23,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,23,,,,,,,,,,,,
2019-01-24,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,24,,,,,,,,,,,,
2019-01-25,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,25,,,,,,,,,,,,
2019-01-26,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,26,,,,,,,,,,,,
2019-01-27,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,27,,,,,,,,,,,,
2019-01-28,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,28,,,,,,,,,,,,
2019-01-29,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,29,,,,,,,,,,,,
2019-01-30,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,30,,,,,,,,,,,,
2019-01-31,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,1,31,,,,,,,,,,,,
2019-02-01,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,1,,,,,,,,,,,,
2019-02-02,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,2,,,,,,,,,,,,
2019-02-03,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,3,,,,,,,,,,,,
2019-02-04,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,4,,,,,,,,,,,,
2019-02-05,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,5,,,,,,,,,,,,
2019-02-06,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,6,,,,,,,,,,,,
2019-02-07,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,7,,,,,,,,,,,,
2019-02-08,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,8,,,,,,,,,,,,
2019-02-09,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,9,,,,,,,,,,,,
2019-02-10,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,10,,,,,,,,,,,,
2019-02-11,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,11,,,,,,,,,,,,
2019-02-12,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,12,,,,,,,,,,,,
2019-02-13,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,13,,,,,,,,,,,,
2019-02-14,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,14,,,,,,,,,,,,
2019-02-15,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,15,,,,,,,,,,,,
2019-02-16,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,16,,,,,,,,,,,,
2019-02-17,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,17,,,,,,,,,,,,
2019-02-18,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,18,,,,,,,,,,,,
2019-02-19,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,19,,,,,,,,,,,,
2019-02-20,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,20,,-2.8,-19.2,-11,29,0,,,0.5,105,,
2019-02-21,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,21,,-4.2,-22,-13.1,31.1,0,,,0.2,104,,
2019-02-22,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,22,,-7.1,-15.1,-11.1,29.1,0,,,0.2,104,26,38
2019-02-23,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,23,,-7.7,-16.2,-11.9,29.9,0,,,1.4,105,8,31
2019-02-24,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,24,,-10,-22.7,-16.4,34.4,0,,,0.6,105,7,34
2019-02-25,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,25,,-11.4,-25.7,-18.6,36.6,0,,,0,104,6,43
2019-02-26,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,26,,-10.2,-25.9,-18,36,0,,,0,104,,
2019-02-27,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,27,,-1.1,-27.1,-14.1,32.1,0,,,0,104,6,37
2019-02-28,norating,norating,norating,,,,,,,-116.34,51.44,YOHO PARK,11790J1,2019,2,28,,-1.2,-17.1,-9.1,27.1,0,,,0,103,,
