,date,btl_rating,tln_rating,alp_rating,problem1,problem2,problem3,chance1,chance2,chance3
0,2022-01-01,moderate,considerable,considerable,persistent-slab,wind-slab,,Possible,Possible,
0,2022-01-02,moderate,considerable,considerable,persistent-slab,wind-slab,,Possible,Likely,
0,2022-01-03,considerable,high,high,storm-slab,persistent-slab,,likely,Possible,
0,2022-01-04,considerable,considerable,considerable,storm-slab,persistent-slab,,Likely,Possible,
0,2022-01-05,moderate,considerable,considerable,storm-slab,persistent-slab,,Likely,Possible,
0,2022-01-06,moderate,considerable,considerable,storm-slab,persistent-slab,,likely,Possible,
0,2022-01-07,high,high,high,storm-slab,persistent-slab,,Certain,Possible,
0,2022-01-08,considerable,considerable,considerable,storm-slab,persistent-slab,,Likely,Possible,
0,2022-01-09,moderate,moderate,considerable,wind-slab,persistent-slab,,Likely,Possible,
0,2022-01-10,moderate,moderate,moderate,wind-slab,persistent-slab,,Likely,Possible,
0,2022-01-11,moderate,moderate,considerable,wind-slab,persistent-slab,,Likely,Possible,
0,2022-01-12,high,high,high,storm-slab,persistent-slab,,likely,Possible,
0,2022-01-13,considerable,considerable,high,storm-slab,cornice,persistent-slab,likely,Likely,Possible
0,2022-01-14,moderate,moderate,considerable,storm-slab,persistent-slab,,Likely,Possible,
0,2022-01-15,low,moderate,moderate,storm-slab,persistent-slab,,Possible,Possible,
0,2022-01-16,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-01-17,low,moderate,moderate,wind-slab,deep-persistent-slab,,Possible,Possible,
0,2022-01-18,low,moderate,moderate,wind-slab,deep-persistent-slab,,Possible,Possible,
0,2022-01-19,low,low,moderate,deep-persistent-slab,,,Possible,,
0,2022-01-20,low,moderate,considerable,storm-slab,deep-persistent-slab,,Likely,Possible,
0,2022-01-21,moderate,moderate,moderate,wind-slab,deep-persistent-slab,,Likely,Possible,
0,2022-01-22,considerable,considerable,considerable,wind-slab,cornice,deep-persistent-slab,Likely,Likely,Possible
0,2022-01-23,considerable,considerable,considerable,wet-loose,deep-persistent-slab,wind-slab,likely,Possible,Likely
0,2022-01-24,moderate,moderate,moderate,wind-slab,deep-persistent-slab,wet-loose,Possible,Possible,Possible
0,2022-01-25,low,moderate,moderate,deep-persistent-slab,,,Possible,,
0,2022-01-26,low,moderate,moderate,deep-persistent-slab,,,Possible,,
0,2022-01-27,low,low,low,,,,,,
0,2022-01-28,low,low,low,,,,,,
0,2022-01-29,low,low,low,,,,,,
0,2022-01-30,low,moderate,moderate,storm-slab,,,Likely,,
0,2022-01-31,moderate,considerable,considerable,storm-slab,,,Likely,,
0,2022-02-01,moderate,considerable,considerable,wind-slab,dry-loose,,Likely,Likely,
0,2022-02-02,low,moderate,considerable,wind-slab,,,Likely,,
0,2022-02-03,low,moderate,moderate,wind-slab,,,Possible,,
0,2022-02-04,moderate,moderate,considerable,persistent-slab,wind-slab,,Likely,Likely,
0,2022-02-05,moderate,considerable,considerable,wind-slab,persistent-slab,,likely,Possible,
0,2022-02-06,considerable,considerable,considerable,persistent-slab,wind-slab,wet-loose,Likely,Likely,Likely
0,2022-02-07,considerable,considerable,considerable,wind-slab,persistent-slab,,Likely,Possible,
0,2022-02-08,moderate,considerable,considerable,wind-slab,persistent-slab,,Likely,Possible,
0,2022-02-09,moderate,considerable,considerable,persistent-slab,wind-slab,,Likely,Possible,
0,2022-02-10,considerable,considerable,considerable,persistent-slab,wind-slab,,Likely,Possible,
0,2022-02-11,moderate,considerable,considerable,persistent-slab,wind-slab,,Possible,Possible,
0,2022-02-12,moderate,considerable,considerable,persistent-slab,wind-slab,,Possible,Possible,
0,2022-02-13,moderate,considerable,considerable,persistent-slab,wind-slab,,Possible,Unlikely,
0,2022-02-14,low,moderate,low,persistent-slab,,,Possible,,
0,2022-02-15,low,moderate,low,persistent-slab,,,Possible,,
0,2022-02-16,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-02-17,low,moderate,low,persistent-slab,wind-slab,,Possible,Possible,
0,2022-02-18,low,moderate,low,persistent-slab,,,Possible,,
0,2022-02-19,low,moderate,moderate,wind-slab,persistent-slab,,Likely,Possible,
0,2022-02-20,considerable,considerable,considerable,storm-slab,persistent-slab,,likely,Possible,
0,2022-02-21,low,moderate,moderate,wind-slab,wet-loose,,Likely,Likely,
0,2022-02-22,low,moderate,moderate,wind-slab,,,Likely,,
0,2022-02-23,moderate,moderate,moderate,wind-slab,persistent-slab,,Likely,Possible,
0,2022-02-24,moderate,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-02-25,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-02-26,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-02-27,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-02-28,considerable,high,high,storm-slab,persistent-slab,,likely,Possible,
0,2022-03-01,high,high,high,storm-slab,wet-loose,persistent-slab,Certain,Likely,Likely
0,2022-03-02,considerable,considerable,considerable,storm-slab,wet-loose,persistent-slab,Likely,Possible,Possible
0,2022-03-03,moderate,moderate,considerable,storm-slab,persistent-slab,,Likely,Possible,
0,2022-03-04,low,moderate,moderate,storm-slab,persistent-slab,,Likely,Possible,
0,2022-03-05,low,moderate,moderate,storm-slab,persistent-slab,,Possible,Possible,
0,2022-03-06,low,considerable,moderate,persistent-slab,storm-slab,,Likely,Likely,
0,2022-03-07,low,considerable,moderate,storm-slab,persistent-slab,,Likely,Likely,
0,2022-03-08,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Likely,
0,2022-03-09,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-03-10,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-03-11,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-03-12,low,moderate,moderate,wind-slab,persistent-slab,,Likely,Possible,
0,2022-03-13,low,moderate,moderate,wind-slab,persistent-slab,,Possible,Possible,
0,2022-03-14,low,moderate,moderate,wind-slab,,,Possible,,
0,2022-03-15,moderate,considerable,high,storm-slab,,,likely,,
0,2022-03-16,moderate,considerable,considerable,storm-slab,,,Likely,,
0,2022-03-17,low,moderate,considerable,storm-slab,,,Likely,,
0,2022-03-18,moderate,moderate,considerable,persistent-slab,,,Possible,,
0,2022-03-19,moderate,moderate,considerable,persistent-slab,wind-slab,,Possible,Likely,
0,2022-03-20,low,moderate,considerable,wind-slab,persistent-slab,wet-loose,Likely,Possible,Likely
0,2022-03-21,low,moderate,moderate,persistent-slab,wind-slab,,Possible,Possible,
0,2022-03-22,considerable,considerable,considerable,persistent-slab,wind-slab,cornice,Possible,Likely,Possible
0,2022-03-23,considerable,considerable,considerable,persistent-slab,wet-loose,wind-slab,Possible,Likely,Likely
0,2022-03-24,moderate,moderate,moderate,persistent-slab,wet-loose,wind-slab,Possible,Possible,Possible
0,2022-03-25,low,moderate,moderate,persistent-slab,wet-loose,,Possible,Possible,
0,2022-03-26,low,moderate,moderate,persistent-slab,wet-loose,,Possible,Possible,
0,2022-03-27,moderate,considerable,considerable,wet-loose,cornice,persistent-slab,Likely,Possible,Possible
0,2022-03-28,moderate,considerable,considerable,wet-loose,cornice,persistent-slab,Likely,Possible,Possible
0,2022-03-29,moderate,moderate,moderate,wet-loose,,,Possible,,
0,2022-03-30,moderate,moderate,low,wet-loose,,,Possible,,
0,2022-03-31,moderate,low,low,wet-loose,,,Possible,,
0,2022-04-01,low,low,low,wet-loose,,,Possible,,
0,2022-04-02,low,low,low,wet-loose,,,Possible,,
0,2022-04-03,low,low,low,wind-slab,,,Possible,,
0,2022-04-04,moderate,considerable,considerable,storm-slab,,,likely,,
0,2022-04-05,moderate,considerable,considerable,storm-slab,,,Likely,,
0,2022-04-06,moderate,considerable,considerable,wind-slab,wet-slab,,Likely,Likely,
0,2022-04-07,moderate,considerable,considerable,wet-slab,wind-slab,,likely,Likely,
0,2022-04-08,moderate,considerable,considerable,wet-slab,,,likely,,
0,2022-04-09,low,low,moderate,wind-slab,,,Possible,,
0,2022-04-10,low,moderate,moderate,wind-slab,,,Possible,,
0,2022-04-11,low,low,low,wind-slab,,,Possible,,
0,2022-04-12,low,low,moderate,wind-slab,,,Possible,,
0,2022-04-13,low,low,moderate,wind-slab,,,Possible,,
0,2022-04-14,low,low,low,wind-slab,,,Possible,,
0,2022-04-15,low,low,low,cornice,,,Possible,,
0,2022-04-16,low,low,low,cornice,,,Possible,,
0,2022-04-17,low,low,low,cornice,,,Possible,,
0,2022-04-18,low,low,low,cornice,,,Possible,,
0,2022-04-19,low,moderate,considerable,wind-slab,,,Likely,,
0,2022-04-20,low,moderate,moderate,wind-slab,wet-loose,,Possible,Possible,
0,2022-04-21,low,moderate,moderate,wind-slab,,,Possible,,
0,2022-04-22,low,moderate,moderate,wind-slab,cornice,wet-loose,Possible,Possible,Possible
0,2022-04-23,low,moderate,moderate,wind-slab,cornice,wet-loose,Possible,Possible,Possible
0,2022-04-24,low,moderate,moderate,wet-loose,,,Possible,,
0,2022-04-25,low,moderate,moderate,wet-loose,,,Possible,,
0,2022-04-26,low,low,low,wind-slab,wet-loose,,Possible,Possible,
0,2022-04-27,low,low,low,wind-slab,wet-loose,,Possible,Possible,
0,2022-04-28,low,low,low,wind-slab,wet-loose,,Possible,Possible,
0,2022-04-29,norating,norating,norating,,,,,,
0,2022-04-30,norating,norating,norating,,,,,,
0,2022-05-01,norating,norating,norating,,,,,,
0,2022-05-02,norating,norating,norating,,,,,,
0,2022-05-03,norating,norating,norating,,,,,,
0,2022-05-04,norating,norating,norating,,,,,,
0,2022-05-05,norating,norating,norating,,,,,,
0,2022-05-06,norating,norating,norating,,,,,,
0,2022-05-07,norating,norating,norating,,,,,,
0,2022-05-08,norating,norating,norating,,,,,,
0,2022-05-09,norating,norating,norating,,,,,,
0,2022-05-10,norating,norating,norating,,,,,,
0,2022-05-11,norating,norating,norating,,,,,,
0,2022-05-12,norating,norating,norating,,,,,,
0,2022-05-13,norating,norating,norating,,,,,,
0,2022-05-14,norating,norating,norating,,,,,,
0,2022-05-15,norating,norating,norating,,,,,,
0,2022-05-16,norating,norating,norating,,,,,,
0,2022-05-17,norating,norating,norating,,,,,,
0,2022-05-18,norating,norating,norating,,,,,,
0,2022-05-19,norating,norating,norating,,,,,,
0,2022-05-20,norating,norating,norating,,,,,,
0,2022-05-21,norating,norating,norating,,,,,,
0,2022-05-22,norating,norating,norating,,,,,,
0,2022-05-23,norating,norating,norating,,,,,,
0,2022-05-24,norating,norating,norating,,,,,,
0,2022-05-25,norating,norating,norating,,,,,,
0,2022-05-26,norating,norating,norating,,,,,,
0,2022-05-27,norating,norating,norating,,,,,,
