"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.55","51.19","BANFF CS","3050519","2024-01-01","2024","01","01","","2.3","","-5.1","","-1.4","","19.4","","0.0","","","","","","0.0","","12","","22","","32",""
"-115.55","51.19","BANFF CS","3050519","2024-01-02","2024","01","02","","-2.1","","-8.5","","-5.3","","23.3","","0.0","","","","","","0.0","","12","","22","","32",""
"-115.55","51.19","BANFF CS","3050519","2024-01-03","2024","01","03","","-2.8","","-8.7","","-5.8","","23.8","","0.0","","","","","","0.0","","12","","24","","32",""
"-115.55","51.19","BANFF CS","3050519","2024-01-04","2024","01","04","","0.6","","-6.2","","-2.8","","20.8","","0.0","","","","","","0.0","","12","","22","","31",""
"-115.55","51.19","BANFF CS","3050519","2024-01-05","2024","01","05","","-0.5","","-7.0","","-3.7","","21.7","","0.0","","","","","","0.0","","12","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-06","2024","01","06","","-2.6","","-6.8","","-4.7","","22.7","","0.0","","","","","","2.2","","12","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-07","2024","01","07","","-6.2","","-22.8","","-14.5","","32.5","","0.0","","","","","","0.5","","15","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-08","2024","01","08","","-8.1","","-23.9","","-16.0","","34.0","","0.0","","","","","","0.0","","16","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-09","2024","01","09","","-4.3","","-12.3","","-8.3","","26.3","","0.0","","","","","","0.7","","16","","22","","33",""
"-115.55","51.19","BANFF CS","3050519","2024-01-10","2024","01","10","","-12.3","","-23.7","","-18.0","","36.0","","0.0","","","","","","2.5","","16","","6","","40",""
"-115.55","51.19","BANFF CS","3050519","2024-01-11","2024","01","11","","-23.6","","-32.2","","-27.9","","45.9","","0.0","","","","","","0.0","","16","","10","","34",""
"-115.55","51.19","BANFF CS","3050519","2024-01-12","2024","01","12","","-28.8","","-39.8","","-34.3","","52.3","","0.0","","","","","","0.0","","16","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-13","2024","01","13","","-25.2","","-40.2","","-32.7","","50.7","","0.0","","","","","","0.0","","16","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-14","2024","01","14","","-22.1","","-38.3","","-30.2","","48.2","","0.0","","","","","","0.0","","16","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-15","2024","01","15","","-18.2","","-36.8","","-27.5","","45.5","","0.0","","","","","","0.0","","16","","22","","37",""
"-115.55","51.19","BANFF CS","3050519","2024-01-16","2024","01","16","","-15.0","","-21.3","","-18.1","","36.1","","0.0","","","","","","0.8","","16","","25","","38",""
"-115.55","51.19","BANFF CS","3050519","2024-01-17","2024","01","17","","-14.9","","-17.8","","-16.4","","34.4","","0.0","","","","","","4.7","","18","","8","","35",""
"-115.55","51.19","BANFF CS","3050519","2024-01-18","2024","01","18","","-15.4","","-30.7","","-23.1","","41.1","","0.0","","","","","","0.0","","19","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-19","2024","01","19","","-9.7","","-28.6","","-19.2","","37.2","","0.0","","","","","","0.0","","19","","23","","37",""
"-115.55","51.19","BANFF CS","3050519","2024-01-20","2024","01","20","","-3.6","","-11.9","","-7.7","","25.7","","0.0","","","","","","0.0","","19","","25","","39",""
"-115.55","51.19","BANFF CS","3050519","2024-01-21","2024","01","21","","-0.9","","-9.2","","-5.1","","23.1","","0.0","","","","","","0.0","","19","","21","","31",""
"-115.55","51.19","BANFF CS","3050519","2024-01-22","2024","01","22","","0.8","","-10.6","","-4.9","","22.9","","0.0","","","","","","0.0","","18","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-23","2024","01","23","","5.1","","-1.0","","2.1","","15.9","","0.0","","","","","","0.0","","18","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-24","2024","01","24","","4.2","","-1.7","","1.3","","16.7","","0.0","","","","","","0.0","","18","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-25","2024","01","25","","4.7","","-1.5","","1.6","","16.4","","0.0","","","","","","0.0","","18","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-01-26","2024","01","26","","4.2","","-3.2","","0.5","","17.5","","0.0","","","","","","0.0","","18","","27","","31",""
"-115.55","51.19","BANFF CS","3050519","2024-01-27","2024","01","27","","6.0","","-0.6","","2.7","","15.3","","0.0","","","","","","0.0","","18","","22","","36",""
"-115.55","51.19","BANFF CS","3050519","2024-01-28","2024","01","28","","6.2","","1.6","","3.9","","14.1","","0.0","","","","","","0.0","","17","","24","","42",""
"-115.55","51.19","BANFF CS","3050519","2024-01-29","2024","01","29","","10.7","","0.9","","5.8","","12.2","","0.0","","","","","","0.0","","15","","22","","35",""
"-115.55","51.19","BANFF CS","3050519","2024-01-30","2024","01","30","","11.5","","1.4","","6.4","","11.6","","0.0","","","","","","0.0","","9","","21","","49",""
"-115.55","51.19","BANFF CS","3050519","2024-01-31","2024","01","31","","8.6","","-0.4","","4.1","","13.9","","0.0","","","","","","0.0","","3","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-01","2024","02","01","","10.8","","0.4","","5.6","","12.4","","0.0","","","","","","0.0","","0","","27","","36",""
"-115.55","51.19","BANFF CS","3050519","2024-02-02","2024","02","02","","10.1","","-2.0","","4.0","","14.0","","0.0","","","","","","0.0","","","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-03","2024","02","03","","3.6","","-2.2","","0.7","","17.3","","0.0","","","","","","5.6","","","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-04","2024","02","04","","-2.1","","-5.6","","-3.9","","21.9","","0.0","","","","","","4.3","","","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-05","2024","02","05","","0.1","","-6.6","","-3.2","","21.2","","0.0","","","","","","0.2","","4","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-06","2024","02","06","","0.9","","-10.0","","-4.5","","22.5","","0.0","","","","","","0.0","","1","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-07","2024","02","07","","1.5","","-10.2","","-4.3","","22.3","","0.0","","","","","","0.0","","0","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-08","2024","02","08","","-1.0","","-6.0","","-3.5","","21.5","","0.0","","","","","","0.5","","1","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-09","2024","02","09","","-0.1","","-11.2","","-5.6","","23.6","","0.0","","","","","","0.1","","1","","","","",""
"-115.55","51.19","BANFF CS","3050519","2024-02-10","2024","02","10","","0.2","","-13.1","","-6.5","","24.5","","0.0","","","","","","0.0","","2","","23","","40",""
"-115.55","51.19","BANFF CS","3050519","2024-02-11","2024","02","11","","0.4","","-4.5","","-2.1","","20.1","","0.0","","","","","","0.5","","1","","22","","32",""
"-115.55","51.19","BANFF CS","3050519","2024-02-12","2024","02","12","","3.1","","-6.8","","-1.9","","19.9","","0.0","","","","","","0.1","","2","","","","",""
