"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.34","51.44","YOHO PARK","11790J1","2021-01-01","2021","01","01","","-3.0","","-6.9","","-4.9","","22.9","","0.0","","","","","","0.0","","71","","26","","51",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-02","2021","01","02","","-1.3","","-3.1","","-2.2","","20.2","","0.0","","","","","","0.0","","71","","27","","50",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-03","2021","01","03","","-1.9","","-5.5","","-3.7","","21.7","","0.0","","","","","","0.0","","76","","26","","43",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-04","2021","01","04","","-3.4","","-7.4","","-5.4","","23.4","","0.0","","","","","","0.0","","76","","26","","39",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-05","2021","01","05","","-2.8","","-7.5","","-5.1","","23.1","","0.0","","","","","","0.0","","78","","26","","46",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-06","2021","01","06","","-1.9","","-5.3","","-3.6","","21.6","","0.0","","","","","","0.0","","76","","26","","50",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-07","2021","01","07","","-3.8","","-11.7","","-7.7","","25.7","","0.0","","","","","","0.8","","75","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-08","2021","01","08","","-7.5","","-13.3","","-10.4","","28.4","","0.0","","","","","","0.0","","74","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-09","2021","01","09","","-8.2","","-13.4","","-10.8","","28.8","","0.0","","","","","","0.0","","73","","26","","43",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-10","2021","01","10","","-6.3","","-11.2","","-8.7","","26.7","","0.0","","","","","","0.0","","72","","27","","46",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-11","2021","01","11","","-3.8","","-7.2","","-5.5","","23.5","","0.0","","","","","","0.0","","71","","27","","50",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-12","2021","01","12","","-1.8","","-5.3","","-3.6","","21.6","","0.0","","","","","","0.0","","69","","27","","48",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-13","2021","01","13","","-1.3","","-7.2","","-4.3","","22.3","","0.0","","","","","","0.0","","81","","25","","53",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-14","2021","01","14","","-1.0","","-10.1","","-5.6","","23.6","","0.0","","","","","","0.0","","89","","25","","39",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-15","2021","01","15","","-3.8","","-8.3","","-6.0","","24.0","","0.0","","","","","","0.0","","86","","26","","60",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-16","2021","01","16","","-0.8","","-7.8","","-4.3","","22.3","","0.0","","","","","","0.0","","83","","27","","43",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-17","2021","01","17","","-4.3","","-7.1","","-5.7","","23.7","","0.0","","","","","","0.0","","83","","26","","51",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-18","2021","01","18","","3.1","","-11.2","","-4.0","","22.0","","0.0","","","","","","0.0","","87","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-19","2021","01","19","","-5.2","","-12.8","","-9.0","","27.0","","0.0","","","","","","0.0","","84","","27","","62",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-20","2021","01","20","","-1.5","","-14.3","","-7.9","","25.9","","0.0","","","","","","0.8","","84","","24","","65",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-21","2021","01","21","","-9.5","","-23.1","","-16.3","","34.3","","0.0","","","","","","0.4","","83","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-22","2021","01","22","","-10.4","","-26.1","","-18.2","","36.2","","0.0","","","","","","0.0","","80","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-23","2021","01","23","","-12.1","","-22.7","","-17.4","","35.4","","0.0","","","","","","0.0","","80","","27","","47",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-24","2021","01","24","","-9.8","","-15.6","","-12.7","","30.7","","0.0","","","","","","0.2","","81","","25","","43",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-25","2021","01","25","","-6.9","","-17.2","","-12.0","","30.0","","0.0","","","","","","0.4","","81","","26","","31",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-26","2021","01","26","","-5.5","","-12.7","","-9.1","","27.1","","0.0","","","","","","0.0","","79","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-27","2021","01","27","","-8.2","","-16.7","","-12.5","","30.5","","0.0","","","","","","0.0","","80","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-28","2021","01","28","","-5.4","","-13.6","","-9.5","","27.5","","0.0","","","","","","0.0","","81","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-29","2021","01","29","","-3.0","","-10.6","","-6.8","","24.8","","0.0","","","","","","0.0","","87","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-30","2021","01","30","","-2.8","","-11.8","","-7.3","","25.3","","0.0","","","","","","0.0","","88","","27","","38",""
"-116.34","51.44","YOHO PARK","11790J1","2021-01-31","2021","01","31","","-2.3","","-8.6","","-5.4","","23.4","","0.0","","","","","","0.0","","88","","","M","","M"
"-116.34","51.44","YOHO PARK","11790J1","2021-02-01","2021","02","01","","0.5","","-4.0","","-1.8","","19.8","","0.0","","","","","","0.0","","101","","","M","","M"
"-116.34","51.44","YOHO PARK","11790J1","2021-02-02","2021","02","02","","-0.3","","-6.9","","-3.6","","21.6","","0.0","","","","","","0.0","","114","","","M","","M"
"-116.34","51.44","YOHO PARK","11790J1","2021-02-03","2021","02","03","","-0.4","","-11.2","","-5.8","","23.8","","0.0","","","","","","","M","117","","","M","","M"
"-116.34","51.44","YOHO PARK","11790J1","2021-02-04","2021","02","04","","-5.1","","-8.9","","-7.0","","25.0","","0.0","","","","","","","M","111","","25","","39",""
"-116.34","51.44","YOHO PARK","11790J1","2021-02-05","2021","02","05","","-4.8","","-15.3","","-10.1","","28.1","","0.0","","","","","","","M","110","","6","","41",""
"-116.34","51.44","YOHO PARK","11790J1","2021-02-06","2021","02","06","","-12.8","","-20.5","","-16.6","","34.6","","0.0","","","","","","","M","118","","4","","48",""
"-116.34","51.44","YOHO PARK","11790J1","2021-02-07","2021","02","07","","-16.3","","-25.1","","-20.7","","38.7","","0.0","","","","","","","M","117","","7","","40",""
